ownership,indownership,marriagestatus,indmarriagestatus,county,hhincome,agequant,agecat,famsize,sex,indsex,indpoverty,degree,inddegree
Own,1,Not married,0,Jefferson,110820,83,70above,3,female,0,0,No College Degree,0
Own,1,Not married,0,Warren,57050,39,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Kenton,72000,29,18-29,3,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,43000,37,30-39,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,15000,22,18-29,1,male,1,1,College Degree,1
Own,1,Not married,0,Jefferson,32200,57,50-59,1,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,94010,34,30-39,4,male,1,0,College Degree,1
Own,1,Married,1,Boone,95820,57,50-59,4,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,27800,84,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,131690,81,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,71000,56,50-59,5,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,70000,75,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,204000,28,18-29,2,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,70000,51,50-59,1,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,58000,60,60-69,3,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,163100,75,70above,4,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,101010,33,30-39,3,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,16200,68,60-69,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Warren,8800,48,40-49,1,female,0,1,No College Degree,0
Own,1,Married,1,Fayette,83600,59,50-59,4,male,1,0,No College Degree,0
Own,1,Not married,0,Boone,185660,81,70above,4,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,162820,25,18-29,3,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,120020,29,18-29,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,36600,73,70above,5,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,126000,39,30-39,4,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,35900,94,70above,1,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,8000,60,60-69,1,female,0,1,No College Degree,0
Rent,0,Married,1,Jefferson,80800,45,40-49,4,male,1,0,No College Degree,0
Own,1,Not married,0,Fayette,111000,21,18-29,4,male,1,0,No College Degree,0
Rent,0,Not married,0,Warren,30300,23,18-29,3,female,0,0,College Degree,1
Rent,0,Not married,0,Kenton,154000,34,30-39,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,11600,68,60-69,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,78600,70,70above,2,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,46200,56,50-59,5,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,96400,67,60-69,2,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,42000,22,18-29,2,female,0,0,College Degree,1
Rent,0,Married,1,Fayette,138000,35,30-39,3,female,0,0,College Degree,1
Own,1,Not married,0,Warren,60000,50,50-59,1,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,112000,57,50-59,2,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,97000,22,18-29,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,88200,70,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Fayette,102000,29,18-29,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,189100,40,40-49,4,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,53100,28,18-29,2,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,76000,39,30-39,2,male,1,0,No College Degree,0
Rent,0,Married,1,Fayette,60000,43,40-49,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,25570,69,60-69,2,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,13500,47,40-49,1,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,38000,40,40-49,3,male,1,0,No College Degree,0
Rent,0,Not married,0,Boone,14000,28,18-29,3,female,0,1,No College Degree,0
Own,1,Married,1,Fayette,82900,62,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,54200,34,30-39,1,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,98100,46,40-49,3,male,1,0,College Degree,1
Rent,0,Not married,0,Kenton,53400,34,30-39,1,male,1,1,No College Degree,0
Own,1,Not married,0,Jefferson,134600,66,60-69,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,87800,61,60-69,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,122800,68,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,96400,23,18-29,1,male,1,0,No College Degree,0
Rent,0,Married,1,Boone,42000,26,18-29,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,94000,38,30-39,6,female,0,0,College Degree,1
Own,1,Married,1,Boone,165000,45,40-49,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,53800,47,40-49,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,97100,58,50-59,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,60000,71,70above,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,145000,31,30-39,3,male,1,0,College Degree,1
Rent,0,Married,1,Fayette,35900,56,50-59,3,male,1,0,No College Degree,0
Own,1,Not married,0,Fayette,29000,52,50-59,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,96000,25,18-29,2,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,12000,18,18-29,2,male,1,1,No College Degree,0
Own,1,Not married,0,Jefferson,69000,66,60-69,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,84000,76,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,72400,33,30-39,6,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,114810,53,50-59,4,female,0,0,College Degree,1
Own,1,Married,1,Boone,86000,47,40-49,5,female,0,0,College Degree,1
Own,1,Married,1,Fayette,125000,34,30-39,5,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,14400,77,70above,1,female,0,0,College Degree,1
Own,1,Not married,0,Boone,83100,58,50-59,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,72000,58,50-59,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,43280,66,60-69,2,female,0,0,College Degree,1
Own,1,Married,1,Warren,42000,75,70above,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,148920,22,18-29,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Kenton,14700,55,50-59,1,male,1,0,No College Degree,0
Own,1,Married,1,Warren,57500,48,40-49,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,114010,63,60-69,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,48600,59,50-59,2,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,66000,51,50-59,4,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,9000,60,60-69,1,female,0,1,College Degree,1
Own,1,Married,1,Boone,67170,75,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,33000,73,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,164400,43,40-49,4,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,98300,19,18-29,4,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,26500,35,30-39,4,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,95000,54,50-59,3,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,4100,23,18-29,2,male,1,1,No College Degree,0
Own,1,Married,1,Boone,33000,43,40-49,3,female,0,0,College Degree,1
Own,1,Married,1,Fayette,298600,56,50-59,5,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,43200,81,70above,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,142800,83,70above,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,96900,37,30-39,6,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,62200,38,30-39,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,84000,65,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,38200,69,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Kenton,55600,24,18-29,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,125070,43,40-49,3,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,41380,54,50-59,2,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,224900,24,18-29,4,male,1,0,College Degree,1
Own,1,Married,1,Warren,57500,79,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Warren,63300,54,50-59,6,male,1,0,No College Degree,0
Own,1,Not married,0,Fayette,83700,52,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Boone,40150,50,50-59,4,male,1,0,No College Degree,0
Own,1,Not married,0,Fayette,222900,27,18-29,5,male,1,0,College Degree,1
Own,1,Married,1,Boone,63700,70,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,272200,39,30-39,4,male,1,0,College Degree,1
Own,1,Married,1,Fayette,284000,56,50-59,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,94000,37,30-39,5,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,168000,63,60-69,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,43600,50,50-59,3,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,35300,27,18-29,5,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,387100,59,50-59,4,male,1,0,College Degree,1
Own,1,Married,1,Boone,29400,70,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Boone,36500,66,60-69,2,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,90400,61,60-69,3,female,0,0,College Degree,1
Rent,0,Married,1,Fayette,54800,48,40-49,4,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,145000,39,30-39,5,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,148000,57,50-59,2,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,113500,70,70above,1,female,0,0,College Degree,1
Rent,0,Married,1,Warren,44200,26,18-29,3,male,1,0,No College Degree,0
Rent,0,Married,1,Fayette,40000,25,18-29,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,130000,30,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Fayette,234000,56,50-59,2,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,95000,24,18-29,1,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,51600,45,40-49,1,female,0,0,No College Degree,0
Own,1,Married,1,Warren,42500,37,30-39,5,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,111350,48,40-49,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,471100,53,50-59,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,141000,44,40-49,5,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,150000,57,50-59,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,128000,26,18-29,1,male,1,0,College Degree,1
Own,1,Married,1,Warren,468700,76,70above,2,female,0,0,College Degree,1
Rent,0,Married,1,Jefferson,25000,63,60-69,5,male,1,1,No College Degree,0
Rent,0,Not married,0,Fayette,50200,48,40-49,2,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,150300,39,30-39,1,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,59000,59,50-59,1,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,29400,68,60-69,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,157000,36,30-39,2,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,11370,30,30-39,2,male,1,1,No College Degree,0
Own,1,Married,1,Jefferson,105000,74,70above,2,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,52000,21,18-29,2,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,163000,47,40-49,5,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,12000,79,70above,2,male,1,1,College Degree,1
Own,1,Married,1,Jefferson,264000,29,18-29,5,female,0,0,No College Degree,0
Own,1,Married,1,Boone,89000,35,30-39,3,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,56000,25,18-29,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,93300,64,60-69,3,female,0,0,No College Degree,0
Rent,0,Married,1,Kenton,38000,45,40-49,7,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,94400,57,50-59,6,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,82000,34,30-39,2,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,24000,30,30-39,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,133600,49,40-49,3,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,40400,67,60-69,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,328000,52,50-59,4,male,1,0,College Degree,1
Own,1,Married,1,Fayette,747000,85,70above,2,male,1,0,College Degree,1
Rent,0,Married,1,Kenton,126000,53,50-59,3,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,114000,31,30-39,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,113440,62,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,406000,54,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Warren,160000,42,40-49,5,female,0,0,College Degree,1
Own,1,Married,1,Warren,15600,68,60-69,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,170000,40,40-49,4,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,40000,65,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Boone,53100,60,60-69,2,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,45000,29,18-29,1,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,220900,27,18-29,1,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,62400,44,40-49,4,male,1,0,No College Degree,0
Own,1,Married,1,Boone,170000,46,40-49,4,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,87600,20,18-29,1,female,0,1,No College Degree,0
Rent,0,Married,1,Fayette,70000,50,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,70200,29,18-29,2,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,43600,61,60-69,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,28600,58,50-59,1,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,95000,35,30-39,3,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,61000,60,60-69,1,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,132000,56,50-59,1,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,21000,67,60-69,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,197200,72,70above,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,28100,47,40-49,2,female,0,0,No College Degree,0
